,mu1x,mu1y,mu1z,var1x,var1y,var1z,mu2x,mu2y,mu2z,var2x,var2y,var2z,mu3x,mu3y,mu3z,var3x,var3y,var3z,mu4x,mu4y,mu4z,var4x,var4y,var4z,mu5x,mu5y,mu5z,var5x,var5y,var5z,Sample Letter,Sample Depth,Sample Type
1887,39.27609073068828,15.28967983938091,0.4836152854618819,39.56443190528443,64.9523038314802,0.016129504148713312,31.958174288531076,58.39993592768703,0.4345999558615348,107.92155887634655,27.959759600293207,0.006931452436785324,8.221774121609965,39.90671637901854,0.4979083538454249,37.689771393886836,347.63646260853034,0.005257516938979667,19.7220796287942,8.419222461336899,0.5857322642181473,83.28570064354952,24.601474198276943,0.04426679869363949,29.390256141998762,35.068923341292276,0.4132621998190221,108.18979233005206,69.85200946010275,0.03599676493232082,A,20,F
1888,39.043497710309836,14.6887559503414,0.4746998683647549,41.93067337497032,60.11069805592516,0.01800770514700719,31.639004169995573,58.27056821748214,0.4223996002009997,110.56883583298604,29.255969677092324,0.009211781349909314,7.5327068187223025,39.4279065189774,0.48665167720167213,31.19519362131658,365.0143556487153,0.004410458329795069,19.690558680376377,8.50233007522916,0.5805227978341654,78.38774674393808,24.944592610276192,0.04673733757438387,29.177316331253923,35.01406383629774,0.4176159064248224,110.42896374215267,68.78361239009011,0.04376802275644767,A,30,F
1889,38.8500388961175,14.742900055198591,0.47705620972158236,42.51780560681243,61.04785638718629,0.018431159604366715,31.904691430422183,58.062862759849814,0.46901934566668807,106.39269443771832,29.84486971349199,0.007162962076588386,8.914371313693865,40.07778892639494,0.5100476224315007,43.762795728329614,327.3558682161357,0.005282584744216212,19.1280718524313,8.153530294897289,0.5954790532735762,80.99534719698019,22.940623133351934,0.042872416577844075,30.333995158770183,34.22296738936333,0.40781727694183306,109.16479787214506,67.27110022789904,0.03570256882364647,C,30,F
1890,39.74301236804419,13.854774818415727,0.5434258007969551,32.781128826765645,68.25641208658472,0.013404996131504622,34.613742628302774,59.116167124366356,0.49015645987061324,67.00475502738763,28.174510713534236,0.0018697837977263716,9.254543590550867,48.16455940599573,0.48478552541058473,43.42038317054798,184.09395483563173,0.003068270669993392,16.035158015131334,14.585140872572495,0.47956769363092594,75.94933264799428,91.60677887069778,0.04950451488398747,32.99204050896091,38.25197994867932,0.4732202536763173,77.7024329241956,51.33085792921079,0.016138789034115347,B,20,L
1891,39.8638052144275,15.695137184910891,0.5105054398100827,31.100980856605375,78.75274953672721,0.018294576721646583,33.2773368837776,56.55983180739162,0.5240328983323335,66.3012690094401,52.68414217782318,0.003621799295751138,10.32611843089925,46.70765004296575,0.47995217211194174,47.82867278178297,186.56156427926004,0.006320599229663411,16.062830771634452,11.023720546173765,0.510635663228945,89.2369417136637,54.05279671184933,0.04776367940762332,32.986756221899114,35.80207847955131,0.366524737841279,91.50460502704982,61.203028052894894,0.01793760422232284,B,25,F
1892,38.79507844675925,14.70342976430616,0.4778708660470185,42.933458463791425,60.32830355526814,0.018558292880065143,31.876172165674504,58.004072850800426,0.4681995374378293,106.6032070528121,30.138487692411942,0.007129081073426772,8.857477547496995,39.94575120101251,0.5097258465405884,43.32388029704371,332.1291356398346,0.0051872120612895456,19.173912857214514,8.120196702442085,0.5958973518989378,79.77957187038659,22.807036792475373,0.04359382656418195,30.27205076216866,34.15022644850022,0.4071256702277536,109.59091796753384,67.3825432710089,0.03576364786100956,C,30,F
1893,37.412805094642906,18.1504484880999,0.480337491591369,56.271859827071836,39.538038936501366,0.021977933687529424,28.32507485511898,54.54680336523239,0.5118135691219662,113.08060948776868,74.8819804754032,0.007669643563917051,7.0403835598226,38.61059930026787,0.4790784532170273,27.310192365659745,383.82393963817196,0.0023062241825071946,23.080750022379785,7.527409122596275,0.5895004789731335,130.37862842948124,24.663690961318135,0.04214420392230566,30.897339457741943,34.00971319428658,0.3406835152231006,125.03011250436747,62.584370748642705,0.022945485864067146,A,30,L
1894,39.21344783372339,15.378320996315711,0.48464479980914454,40.27954965545246,64.3431298076834,0.016377265117758107,31.877923549804027,58.46011479253481,0.4366284564697007,108.11881893757203,27.8064733415198,0.006703640529568211,8.127036898677519,39.755658156519424,0.49727295234944496,36.64502660335852,350.78741873739347,0.005042039392185515,19.83857635949352,8.417658126459884,0.5857684778714833,83.70373314887532,24.807152964522434,0.04451797645277852,29.37375431536566,35.164037084528886,0.4134925280737637,108.54069131717172,70.13243249058927,0.035824860108772484,A,20,F
1895,38.85563897566784,14.75913029931027,0.4772313555976636,42.37365274586421,60.96128654036215,0.01830989803621475,31.897540385391416,58.0670110199399,0.4679466285159591,106.5419040280399,29.775161774899235,0.007132210377809273,8.901053716848878,39.999971263620836,0.5093606830406111,43.6843256583356,329.8029569756493,0.00526251325970666,19.180375761520526,8.1552930846236,0.5947461418884162,80.51077540113856,22.978406224849614,0.04326649187771767,30.31243440450191,34.2405991750533,0.4071546865604204,109.1695052914967,67.39261920769016,0.035569653435731076,C,30,F
1896,39.04015105855526,15.232531759677133,0.4751313564299866,42.048078597471,63.68154951471823,0.017905671068823115,31.48503368926962,58.36718672975177,0.4349074787502253,112.17493692962735,28.40193977244786,0.006902806258663423,8.256292822928012,39.71336313734755,0.49441035980271214,38.30044163839506,338.9612186185226,0.0042112838159659395,19.625975961459986,8.195730787773996,0.5839807850130708,81.75782155043233,23.551073644952716,0.047844478105458034,29.499942447213733,34.60338746310198,0.3978523585143493,110.33223360562125,71.07961874240483,0.036374081013790215,A,25,F
1897,39.59260773417993,14.419242596677037,0.5245099783636391,32.14194570086743,70.86342885903443,0.01894928945211731,29.362280695491446,56.66381059105369,0.5073684200303247,112.33125131765367,50.27642380655375,0.007660398258957594,6.4960571633447834,40.26117028599674,0.4881171153156498,24.798472931569602,353.9917310639981,0.0018897432844241441,17.187999657911877,14.297502457088614,0.526099425906163,58.54520547265571,92.49764452167318,0.055559610023312965,32.175459599629235,35.53720899134169,0.4151294166905555,92.95084209580361,51.40972048630335,0.02535142094393869,C,25,L
